PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC,pIC,Modifier
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,,-log(IC50),
RESULT_UNIT,,,,,,,,MICROMOLAR,NONE,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,
1,85858082,2400619,C1CCC(CC1)CNC(=O)C2=CC(=O)C3=CC=CC=C3O2,Inactive,,,,100,4,&lt;
2,85858966,4371196,CC1=C(C=C(C=C1)NC(C)C(=O)NC2=CC=C(C=C2)C#N)S(=O)(=O)N3CCCCC3,Active,,,,16,4.8,=
3,85859618,91800515,CCC1=CC(=CC=C1)N2C3=C(C=CC=N3)C(=N2)OCC(=O)NC4CCCC4,Inactive,,,,100,4,&lt;
4,85859680,44522284,CC1(CCC(=CC2=CC=C(C=C2)Cl)CC1(CN3C=CN=C3)O)C,Active,,,,0.05,7.3,=
5,85859845,970273,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)C(F)(F)F,Active,,,,6.3,5.2,=
6,85860282,44522388,C1CCC(CC1)NC2=NC(=NC(=C2)C3CC3)C4=CC=CC=N4,Inactive,,,,100,4,&lt;
7,85860283,44522389,CC(C)(C)C1=CC(=NC(=N1)C2=CC=CC=N2)NC3CC3,Inactive,,,,100,4,&lt;
8,85863135,91800516,C1=CC=NC(=C1)C2=NC(=NC(=N2)N3C(=CC(=N3)C4=CC(=CC=C4)C(F)(F)F)N)N.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,,,,100,4,&lt;
9,85868598,91800517,C1COC2=C(C1NCCCNC3=CC(=O)C4=CC=CC=C4N3)C=C(C=C2I)Cl.Cl.Cl,Active,,,,16,4.8,=
10,85869875,91800518,CC1=C(C(=C(S1)C)C(F)(F)F)CNCCCNC2=CC(=O)C3=CC=CC=C3N2.Cl.Cl,Active,,,,20,4.7,=
11,251969452,135551724,CCC1=C(N=C(NC1=O)N2C(=CC(=N2)C)NC(=O)COC3=CC=CC=C3F)C,Inactive,,,,100,4,&lt;
12,251969453,22581444,CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=NC(=CS2)C3=CC=CC=N3,Active,,,,63,4.2,=
13,251969454,135457059,C1=CC=NC(=C1)C2=NC(=CC(=O)N2)CSC3=CC=C(C=C3)Cl,Active,,,,63,4.2,=
14,251969455,70687236,COC1=CC=C(C=C1)C(=O)[C@H]2C[C@@H]2CN(CC3=CC=CC=N3)CC4=CC=CC=N4,Active,,,,40,4.4,=
15,251969456,10114275,CC(C)N(C1=CC=CC=C1)C(=O)CN2C3=CC=CC=C3N(C(=O)C(C2=O)N)C4=CC=CC=C4,Active,,,,0.32,6.5,=
16,251969458,14742293,C1=CC(=CN=C1)N2N=C(N=N2)C3=CC=C(O3)[N+](=O)[O-],Active,,,,4,5.4,=
17,251969459,14742291,C1=CC(=CC=C1N2N=C(N=N2)C3=CC=C(O3)[N+](=O)[O-])Cl,Inactive,,,,100,4,&lt;
18,251969460,101301,C[C@@H]1[C@@H]2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,Active,,,,79,4.1,=
19,251969462,9923406,COCC1=CC(=NC(=N1)C2=CC=CC=N2)NC3=CC=C(C=C3)Cl,Inactive,,,,100,4,&lt;
20,251969463,91800519,COCC1=CC(=NC(=N1)C2=CC=CC=N2)NC3=CC=CC=C3,Inactive,,,,100,4,&lt;
21,251969464,91800520,CNC(=O)OC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2)OC(=O)NC,Inactive,,,,100,4,&lt;
22,251969465,6303,C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO,Inactive,,,,100,4,&lt;
23,251969466,91800521,C1CCC(=O)C(CC1)(CC2=CN=CN2)C3=C(C=C(C=C3)Cl)Cl,Active,,,,0.1,7,=
24,251969467,91800522,C1CCOC(C1)CC(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl.Cl,Active,,,,0.25,6.6,=
25,251969468,135449281,C1=NC2=C(NN=C2C(=O)N1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,,,,100,4,&lt;
26,251969469,91800524,CN(CC1=CC=NC=C1)CC2=CC(=C(C=C2)OC)C3=CC=C(S3)S(=O)(=O)NC4CCC4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,,,,0.079,7.1,=
27,251969470,91800526,CN(C)CC1=CC=C(C=C1)C2=CC(=C(C=C2)S(=O)(=O)NCC3CCCO3)F.C(=O)(C(F)(F)F)O,Active,,,,40,4.4,=
28,251969471,71201136,CC(C)(C)NC1=NC(=NC2=C1C=CN2)NC3=CC4=C(CS(=O)(=O)C4)C=C3,Active,,,,25,4.6,=
29,251969472,6485736,CC1=C(C(=O)N2C(=N1)N=C(N2)C)CC3=CC=C(C=C3)C(C)C,Inactive,,,,100,4,&lt;
30,251969473,2921766,CN1C(=NC(=N1)[N+](=O)[O-])N2CCCCC2,Inactive,,,,100,4,&lt;
31,251969474,17077923,COC1=C(C=C(C=C1)CN2C3=C(C=C(C=C3)Br)C(C2=O)(CC(=O)C4=CC=NC=C4)O)OC,Active,,,,0.5,6.3,=
32,251969475,91800528,CC1=CC=CC=C1CNC(=O)CN(CC2=CC=CC=N2)CC3=CC=CC=N3.C(=O)(C(F)(F)F)O,Active,,,,100,4,=
33,251969476,91800530,C1C(CC2=CC=CC=C21)NC(=O)CN(CC3=CC=CC=N3)CC4=CC=CC=N4.C(=O)(C(F)(F)F)O,Active,,,,79,4.1,=
34,251969477,91800532,CC(CCC1=CC=CC=C1)NC(=O)CN(CC2=CC=CC=N2)CC3=CC=CC=N3.C(=O)(C(F)(F)F)O,Active,,,,63,4.2,=
35,251969478,91800534,C1OC2=C(O1)C=C(C=C2)CNC(=O)CN(CC3=CC=CC=N3)CC4=CC=CC=N4.C(=O)(C(F)(F)F)O,Active,,,,100,4,=
36,251969479,91800536,C1=CC=NC(=C1)CN(CC2=CC=CC=N2)CC(=O)NCC3=CSC(=N3)C4=CC=CS4.C(=O)(C(F)(F)F)O,Active,,,,40,4.4,=
37,251969480,91800538,CC1=NN(N=C1CNC(=O)CN(CC2=CC=CC=N2)CC3=CC=CC=N3)C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,,,,25,4.6,=
38,251969481,91800540,C1=CC=NC(=C1)CN(CC2=CC=CC=N2)CC(=O)NCC3=CC=C(C=C3)C4=CSN=N4.C(=O)(C(F)(F)F)O,Active,,,,40,4.4,=
39,251969482,91800542,CC(C)C1=CC(=C(C=C1S(=O)(=O)C)C(=O)N2CCN(CC2)C3=CC=CC=C3Cl)OC,Inactive,,,,100,4,&lt;
40,251969483,16261305,C1OC2=C(O1)C=C(C=C2)C3=NN=C(O3)SCC(=O)N(CC4=CC=CO4)CC(F)(F)F,Active,,,,25,4.6,=
41,251969484,16255954,C1CN(CCN1C(=O)CNC(=O)C2=CC3=C(C=C2)OCO3)S(=O)(=O)C4=CC=CC=C4C#N,Active,,,,79,4.1,=
42,251969485,16258387,CC1=CC=CC=C1N(CC(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)OC)S(=O)(=O)C,Active,,,,6.3,5.2,=
43,251969486,16759187,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=N4,Active,,,,0.4,6.4,=
44,251969487,4880417,C1=CC=C(C(=C1)C(=O)NC2=NC(=CS2)C3=CC=CC=N3)N4C=NN=N4,Inactive,,,,100,4,&lt;
45,251969488,5300710,C1=CN(C=C1)C2=CC=C(C=C2)CNC(=O)C3=NC(=NO3)CN4C=CC(=N4)[N+](=O)[O-],Inactive,,,,100,4,&lt;
46,251969489,91800543,CC1=C(SC2=CC=CC(=C12)OC)CN(C)C(=O)C3CNCCN3C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,,,,0.25,6.6,=
47,251969490,15994767,COC1=CC=CC(=C1)C2=CC(=NC(=N2)N3C=CC(=N3)[N+](=O)[O-])C(F)(F)F,Inactive,,,,100,4,&lt;
48,251969492,5047434,CCCCCNC(=O)C1=CNC2=C(C1=O)C=C(C=C2)S(=O)(=O)N(C)C3=CC=C(C=C3)OCC,Active,,,,1.6,5.8,=
49,251969493,24639827,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)NC(=O)C3=CC(=CC(=C3)F)F,Inactive,,,,100,4,&lt;
50,251969494,1506247,CC1=CC=CC=C1NC2=NC(=CC(=N2)N(C)C)C,Inactive,,,,100,4,&lt;
51,251969495,2315987,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=C(S3)[N+](=O)[O-],Inactive,,,,100,4,&lt;
52,251969496,16238160,C1COCCN1C(CNC(=O)C2=CC=C(O2)[N+](=O)[O-])C3=CC=CS3.Cl,Active,,,,10,5,=
53,251969497,2104743,CCN(CC)C1=NC=C(S1)C(=O)C2=CC=C(O2)[N+](=O)[O-],Active,,,,40,4.4,=
54,251969498,91800545,C1CC2=CC=CC=C2CC1C(=O)NC3=NC(=CS3)C4=CC=CC=N4,Active,,,,25,4.6,=
55,251969499,2731946,C1C(=O)N(C(S1)C2=CN=CC=C2)C3=C(C=C(C=C3)Cl)Cl,Active,,,,0.16,6.8,=
56,251969500,1096853,CN1C(=CN=C1NC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)OC,Active,,,,10,5,=
57,251969501,91800546,C1CC(C1)C(=O)N(CCC2=CC=CC=N2)CC3=CC=C(C=C3)C4=CC=C(C=C4)[C@H]5C[C@@H]5C(=O)O.C(=O)(C(F)(F)F)O,Active,,,,20,4.7,=
58,251969502,91800548,CN(C)CCN(C)CC1=C(C=C(C=C1)Cl)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl,Active,,,,32,4.5,=
59,251969503,91800549,CN(C)CCN(C)CC1=C(C=C(C=C1)F)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl,Inactive,,,,130,3.9,&lt;
60,251969504,54685672,C1CN2C3=C1C=CC=C3C(=C(C2=O)C(=O)NC4=NC5=CC=CC=C5N4)O,Inactive,,,,100,4,&lt;
61,251969506,91800550,C1CN(CCC1O)CC2=CC(=CC=C2)C3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)C#N.C(=O)(C(F)(F)F)O,Active,,,,25,4.6,=
62,251969507,91800552,C1[C@H]2[C@@]1(CN(C2)C(=O)NC3=NC(=CS3)C4=CC=CC=N4)C5=CC=CC=C5,Active,,,,40,4.4,=
63,251969508,8924089,CN(C)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=NC(=CS2)C3=CC=CC=N3,Active,,,,32,4.5,=
64,251969509,8896580,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)CCCNC(=O)C3=CC=C(C=C3)Cl,Active,,,,3.2,5.5,=
65,251969510,7522068,C1=CSC(=C1)C(=O)NCCC2=CSC(=N2)C3=CC=C(C=C3)F,Active,,,,25,4.6,=
66,251969511,5297849,CN1C(=NC(=N1)[N+](=O)[O-])OC2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Inactive,,,,100,4,&lt;
67,251969512,91800553,CN1CCCN(CC1)C(=O)C2=C(C=C(C=C2)N3CCCC3)Cl,Inactive,,,,100,4,&lt;
68,251969513,24712013,CCCNC(=O)NC1=CC=CC(=C1)C2=NC3=C(O2)C=CC=N3,Inactive,,,,100,4,&lt;
69,251969514,24712253,CN(C)C1=C(C=C(C=C1)N)CN(CC2CCCO2)S(=O)(=O)C,Inactive,,,,100,4,&lt;
